"Main food description","Categoria","Calorias (kcal)","Proteina (g)","Carbohidrats (g)","Azucares totales
(g)","Fibra  (g)","Grasa (g)","Grasa saturada (g)","Grasa monoinsaturada (g)","Grasa poliinsaturada (g)","Colesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Caroteno, alpha (mcg)","Caroteno, beta (mcg)","Cryptoxanthin, beta (mcg)","Licopeno (mcg)","Luteina + zeaxanthin (mcg)","Tiamina (mg)","Riboflavina (mg)","Niacina (mg)","Vitamin B-6 (mg)","Acido folico(mcg)","Folato (mcg)","Folato, DFE (mcg_DFE)","Folato total (mcg)","Colina (mg)","Vitamina B-12 (mcg)","Vitamin B-12, added
(mcg)","Vitamina C (mg)","Vitamina D (D2 + D3) (mcg)","Vitamina E (alpha-tocopherol) (mg)","Vitamin E, added
(mg)","Vitamina K (phylloquinone) (mcg)","Calcio (mg)","fosforo (mg)","Magnesio (mg)","Hierro
(mg)","Zinc
(mg)","Cobre (mg)","Selenio (mcg)","Potasio (mg)","Sodio (mg)","Cafeina (mg)","Teobromina (mg)","Alcohol (g)","4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Agua
(g)"
"Apple, candied","Apples","134","1.34","29.61","24.17","1.8","2.15","0.64","0.391","0.908","2","3","5","0","21","8","0","22","0.038","0.084","0.105","0.045","0","3","3","3","4.6","0.08","0","3.6","0","0.25","0","2.1","39","37","8","0.12","0.14","0.025","0.4","134","62","0","0","0","0.012","0.003","0.003","0.006","0.004","0.048","0.488","0.076","0.024","0.367","0","0","0.894","0.013","0","0.002","0","0","0","66.3"
"Apple, dried","Dried fruits","243","0.93","65.89","57.19","8.7","0.32","0.052","0.013","0.093","0","0","0","0","0","0","0","18","0","0.159","0.927","0.125","0","0","0","0","17.6","0","0","3.9","0","0.53","0","3","14","38","16","1.4","0.2","0.191","1.3","450","87","0","0","0","0","0","0","0","0.001","0.001","0.043","0.007","0.001","0.012","0","0","0.077","0.016","0","0","0","0","0","31.76"
"Apple, raw","Apples","52","0.26","13.81","10.39","2.4","0.17","0.028","0.007","0.051","0","0","3","0","27","11","0","29","0.017","0.026","0.091","0.041","0","3","3","3","3.4","0","0","4.6","0","0.18","0","2.2","6","11","5","0.12","0.04","0.027","0","107","1","0","0","0","0","0","0","0","0","0.001","0.024","0.003","0","0.007","0","0","0.043","0.009","0","0","0","0","0","85.56"
"Apple-banana juice, baby food","Baby juice","51","0.2","12.3","11","0.2","0.1","0.018","0.004","0.034","0","0","0","3","4","0","0","16","0.01","0.01","0.14","0.06","0","1","1","1","2.3","0","0","27.9","0","0.02","0","0","7","8","6","0.2","0.04","0.02","0.3","123","4","0","0","0","0","0","0","0","0","0.001","0.015","0.002","0","0.004","0","0","0.028","0.006","0","0","0","0","0","87.1"
"Apple-cherry juice, baby food","Baby juice","47","0.2","11.2","10.5","0.3","0.1","0.02","0","0.03","0","0","1","0","11","0","0","21","0.01","0.02","0.11","0.03","0","0","0","0","1.9","0","0","32.1","0","0.02","0","0.2","7","12","3","0.35","0.03","0.02","0.1","110","4","0","0","0","0","0","0","0","0","0","0.016","0.002","0","0.002","0","0","0.027","0.004","0","0","0","0","0","88.2"
"Apple-fruit juice blend, baby food","Baby juice","72","0.2","18.1","10.58","0.1","0.1","0.018","0.006","0.031","0","0","1","1","8","2","0","22","0.005","0.002","0.301","0.035","0","0","0","0","1.8","0","0","67.5","0","0.05","0","1.3","9","15","7","0.95","0.05","0.062","0.3","148","8","0","0","0","0","0","0","0","0","0","0.016","0.002","0","0.006","0","0","0.027","0.004","0","0","0","0","0","81.3"
"Apple-grape juice, baby food","Baby juice","46","0.1","11.34","10.9","0.1","0.2","0.04","0.009","0.059","0","0","0","0","2","0","0","0","0.007","0.021","0.109","0.034","0","1","1","1","1.9","0","0","31.5","0","0","0","0","6","5","6","0.39","0.04","0.078","0.1","90","0","0","0","0","0","0","0","0","0","0.002","0.032","0.004","0","0.007","0","0","0.049","0.011","0","0","0","0","0","88.1"
"Apple-peach juice, baby food","Baby juice","43","0.2","10.5","9.59","0.1","0.1","0.018","0.002","0.031","0","0","3","0","31","13","0","29","0.008","0.011","0.213","0.022","0","1","1","1","2.5","0","0","58.5","0","0.15","0","0.5","3","4","3","0.56","0.03","0.037","0.3","97","0","0","0","0","0","0","0","0","0","0","0.016","0.002","0","0.002","0","0","0.027","0.004","0","0","0","0","0","89"
"Apple-prune juice, baby food","Baby juice","72","0.2","18.1","10.58","0.1","0.1","0.018","0.006","0.031","0","0","1","1","8","2","0","22","0.005","0.002","0.301","0.035","0","0","0","0","1.8","0","0","67.5","0","0.05","0","1.3","9","15","7","0.95","0.05","0.062","0.3","148","8","0","0","0","0","0","0","0","0","0","0.016","0.002","0","0.006","0","0","0.027","0.004","0","0","0","0","0","81.3"
"Apple-raspberry, baby food, junior","Baby food: fruit","60","0.2","16","10.9","2","0.2","0.028","0.014","0.068","0","0","2","0","18","8","0","32","0.015","0.036","0.104","0.038","0","2","2","2","3.4","0","0","21.4","0","0.17","0","4.8","5","8","4","0.31","0.04","0.055","0.4","68","0","0","0","0","0","0","0","0","0","0.001","0.022","0.004","0","0.013","0","0","0.05","0.017","0","0","0","0","0","83.4"
"Apple-raspberry, baby food, NS as to strained or junior","Baby food: fruit","60","0.2","15.98","12.17","2","0.2","0.028","0.014","0.068","0","0","2","0","14","7","0","27","0.015","0.034","0.108","0.037","0","2","2","2","3.4","0","0","24.4","0","0.17","0","3.5","5","8","4","0.26","0.03","0.055","0.4","72","0","0","0","0","0","0","0","0","0","0.001","0.022","0.004","0","0.013","0","0","0.05","0.017","0","0","0","0","0","83.42"
"Apple-raspberry, baby food, strained","Baby food: fruit","58","0.2","15.6","12.96","2.1","0.2","0.033","0.008","0.062","0","0","1","0","10","7","0","21","0.014","0.028","0.106","0.034","0","1","1","1","3.5","0","0","26.8","0","0.21","0","0.8","5","8","4","0.22","0.03","0.054","0.3","80","0","0","0","0","0","0","0","0","0.001","0.001","0.027","0.004","0","0.008","0","0","0.051","0.011","0","0","0","0","0","83.8"
"Apples and chicken, baby food, strained","Baby food: meat and dinners","65","2.16","10.88","6.06","1.8","1.38","0.347","0.411","0.35","5","0","2","0","13","10","0","16","0.02","0.057","0.577","0.083","0","1","1","1","9.1","0.02","0","0.2","0","0.07","0","0.6","18","32","6","0.38","0.36","0.04","2.5","95","12","0","0","0","0","0","0","0","0.001","0.012","0.226","0.078","0.047","0.35","0.003","0","0.304","0.027","0","0.01","0","0.002","0.002","85.4"
"Apples and pears, baby food, junior","Baby food: fruit","40","0.15","10.95","7.91","2.2","0.05","0.003","0.01","0.012","0","0","0","0","6","2","0","24","0.013","0.028","0.126","0.02","0","3","3","3","2.8","0","0","29.9","0","0.6","0","1.8","6","9","6","0.24","0.06","0.057","0.4","96","1","0","0","0","0","0","0","0","0","0","0.002","0","0","0.01","0","0","0.012","0","0","0","0","0","0","88.65"
"Apples and pears, baby food, NS as to strained or junior","Baby food: fruit","41","0.2","10.88","8.17","2.2","0.12","0.012","0.018","0.031","0","0","1","0","8","3","0","25","0.013","0.028","0.125","0.02","0","3","3","3","3.2","0","0","30.6","0","0.47","0","1.8","6","9","6","0.23","0.06","0.054","0.4","98","1","0","0","0","0","0","0","0","0","0","0.01","0.002","0","0.017","0","0","0.029","0.003","0","0","0","0","0","88.58"
"Apples and pears, baby food, strained","Baby food: fruit","42","0.25","10.8","8.43","2.2","0.2","0.022","0.025","0.051","0","0","1","0","10","5","0","26","0.012","0.028","0.125","0.02","0","3","3","3","3.5","0","0","31.4","0","0.34","0","1.8","6","10","6","0.23","0.05","0.052","0.4","100","0","0","0","0","0","0","0","0","0","0","0.018","0.003","0","0.024","0","0","0.047","0.006","0","0","0","0","0","88.5"
"Apples and sweet potatoes, baby food, strained","Baby food: fruit","64","0.3","15.3","11.6","1.4","0.22","0.041","0.008","0.079","0","0","103","0","1225","9","0","13","0.01","0.02","0.1","0.05","0","2","2","2","4.4","0","0","6.4","0","0.16","0","0.8","8","17","6","0.2","0.1","0.09","0.3","149","3","0","0","0","0","0","0","0","0.001","0.001","0.035","0.004","0","0.008","0","0","0.066","0.013","0","0","0","0","0","84"
"Apples with ham, baby food, strained","Baby food: meat and dinners","62","2.6","10.9","7.98","1.8","0.9","0.25","0.36","0.111","8","0","0","0","3","2","0","14","0.06","0.06","0.73","0.07","0","2","2","2","11.8","0.02","0","0.1","0.1","0.07","0","0.5","4","34","7","0.3","0.4","0.04","4.6","120","9","0","0","0","0","0","0","0.002","0.001","0.012","0.162","0.079","0.028","0.346","0.004","0","0.1","0.006","0","0.005","0","0","0","85.3"
"Apples, baby food, toddler","Baby food: fruit","50","0.19","11.56","10.48","1.9","0.36","0.02","0.004","0.03","0","0","1","0","11","2","0","5","0.04","0.017","0.087","0.041","0","0","0","0","3.4","0","0","64.5","0","0.22","0","0.6","4","8","4","0.08","0.02","0.031","0.3","86","2","0","0","0","0","0","0","0","0","0.001","0.014","0.003","0","0.004","0","0","0.025","0.005","0","0","0","0","0","87.68"
"Applesauce and apricots, baby food, junior","Baby food: fruit","47","0.2","12.4","8.72","1.8","0.2","0.028","0.03","0.051","0","0","2","0","15","11","0","15","0.014","0.03","0.145","0.03","0","1","1","1","3.1","0","0","17.9","0","0.04","0","0.5","6","10","4","0.26","0.03","0.044","0.3","109","0","0","0","0","0","0","0","0","0","0","0.023","0.003","0","0.03","0","0","0.044","0.009","0","0","0","0","0","86.9"
"Applesauce and apricots, baby food, NS as to strained or junior","Baby food: fruit","46","0.2","12.02","8.98","1.8","0.2","0.026","0.034","0.048","0","0","10","2","102","18","0","22","0.014","0.029","0.143","0.03","0","2","2","2","3.1","0","0","18.4","0","0.11","0","0.8","6","10","4","0.26","0.04","0.042","0.3","114","0","0","0","0","0","0","0","0","0","0","0.022","0.003","0","0.034","0","0","0.042","0.008","0","0","0","0","0","87.3"
"Applesauce and apricots, baby food, strained","Baby food: fruit","44","0.2","11.64","9.25","1.8","0.2","0.024","0.037","0.045","0","0","17","3","189","26","0","28","0.014","0.029","0.14","0.03","0","2","2","2","3.1","0","0","18.9","0","0.18","0","1","6","9","4","0.25","0.04","0.041","0.3","120","0","0","0","0","0","0","0","0","0","0","0.02","0.003","0","0.037","0","0","0.041","0.007","0","0","0","0","0","87.7"
"Applesauce with bananas, baby food, junior","Baby food: fruit","66","0.37","16.16","4.35","1.6","0.1","0.04","0.01","0.05","0","0","0","0","3","2","0","8","0.01","0.031","0.163","0.1","0","3","3","3","4.9","0","0","17.3","0","0.02","0","0.3","5","12","9","0.24","0.05","0.04","0.4","131","3","0","0","0","0","0","0","0","0.001","0.001","0.034","0.003","0.002","0.009","0","0","0.04","0.011","0","0","0","0","0","83.14"
"Applesauce with bananas, baby food, NS as to strained or junior","Baby food: fruit","66","0.37","16.16","4.35","1.6","0.1","0.04","0.01","0.05","0","0","0","0","3","2","0","8","0.01","0.031","0.163","0.1","0","3","3","3","4.9","0","0","17.3","0","0.02","0","0.3","5","12","9","0.24","0.05","0.04","0.4","131","3","0","0","0","0","0","0","0","0.001","0.001","0.034","0.003","0.002","0.009","0","0","0.04","0.011","0","0","0","0","0","83.14"
"Applesauce with bananas, baby food, strained","Baby food: fruit","66","0.37","16.16","4.35","1.6","0.1","0.04","0.01","0.05","0","0","0","0","3","2","0","8","0.01","0.031","0.163","0.1","0","3","3","3","4.9","0","0","17.3","0","0.02","0","0.3","5","12","9","0.24","0.05","0.04","0.4","131","3","0","0","0","0","0","0","0","0.001","0.001","0.034","0.003","0.002","0.009","0","0","0.04","0.011","0","0","0","0","0","83.14"
"Applesauce with cherries, baby food, junior","Baby food: fruit","51","0","14.1","10.61","1.1","0","0","0","0","0","0","2","0","24","6","0","47","0.01","0.03","0.14","0.039","0","0","0","0","4.6","0","0","42.8","0","0.06","0","1.2","1","8","4","0.3","0.03","0.046","0.3","132","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.6"
"Applesauce with cherries, baby food, NS as to strained or junior","Baby food: fruit","51","0","14.1","10.71","1.1","0","0","0","0","0","0","2","0","24","5","0","52","0.01","0.03","0.14","0.038","0","0","0","0","4.6","0","0","42.8","0","0.09","0","1.6","1","8","4","0.3","0.03","0.046","0.3","132","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.62"
"Applesauce with cherries, baby food, strained","Baby food: fruit","51","0","14.1","10.81","1.1","0","0","0","0","0","0","2","0","25","4","0","56","0.01","0.03","0.14","0.037","0","0","0","0","4.6","0","0","42.8","0","0.12","0","2","1","8","4","0.3","0.03","0.045","0.3","132","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.63"
"Applesauce, baby food, junior","Baby food: fruit","37","0","10.3","8.48","1.7","0","0","0","0","0","0","0","0","2","2","0","9","0.012","0.027","0.063","0.03","0","2","2","2","3.4","0","0","37.8","0","0.6","0","0.3","5","6","3","0.22","0.04","0.035","0.3","77","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.5"
"Applesauce, baby food, NS as to strained or junior","Baby food: fruit","39","0.1","10.55","9.18","1.7","0.1","0.016","0.004","0.028","0","0","0","0","7","6","0","13","0.012","0.028","0.062","0.03","0","2","2","2","3.4","0","0","38","0","0.6","0","0.4","4","6","3","0.22","0.03","0.037","0.3","74","0","0","0","0","0","0","0","0","0","0","0.014","0.002","0","0.004","0","0","0.024","0.006","0","0","0","0","0","89.05"
"Applesauce, baby food, strained","Baby food: fruit","41","0.2","10.8","9.87","1.7","0.2","0.032","0.008","0.056","0","0","1","0","12","9","0","17","0.012","0.028","0.061","0.031","0","2","2","2","3.4","0","0","38.3","0","0.6","0","0.5","4","7","3","0.22","0.02","0.038","0.3","71","0","0","0","0","0","0","0","0","0","0","0.028","0.004","0","0.008","0","0","0.048","0.012","0","0","0","0","0","88.6"
"Applesauce, flavored","Apples","68","0.16","17.49","14.67","1.2","0.17","0.03","0.007","0.054","0","0","0","0","3","2","0","18","0.017","0.022","0.072","0.027","0","1","1","1","3.3","0","0","1.7","0","0.18","0","0.6","3","6","3","0.12","0.03","0.032","0.3","75","2","0","0","0","0","0","0","0","0.001","0.001","0.025","0.004","0","0.007","0","0","0.045","0.009","0","0","0","0","0","81.98"
"Applesauce, regular","Apples","68","0.16","17.49","14.67","1.2","0.17","0.03","0.007","0.054","0","0","0","0","3","2","0","18","0.017","0.022","0.072","0.027","0","1","1","1","3.3","0","0","1.7","0","0.18","0","0.6","3","6","3","0.12","0.03","0.032","0.3","75","2","0","0","0","0","0","0","0","0.001","0.001","0.025","0.004","0","0.007","0","0","0.045","0.009","0","0","0","0","0","81.98"
"Applesauce, unsweetened","Apples","42","0.17","11.27","9.39","1.1","0.1","0.008","0.002","0.014","0","0","1","0","13","9","0","18","0.026","0.03","0.084","0.027","0","3","3","3","2.2","0","0","1","0","0.16","0","0.5","4","5","3","0.23","0.03","0.027","0.3","74","2","0","0","0","0","0","0","0","0","0","0.007","0.001","0","0.002","0","0","0.012","0.003","0","0","0","0","0","88.22"
"Apple-sweet potato juice, baby food","Baby juice","47","0.3","11.4","9.6","0.5","0.1","0.03","0.01","0.05","0","0","154","0","1849","0","0","6","0.01","0.03","0.1","0.07","0","3","3","3","4.9","0","0","34.1","0","0.34","0","0.7","15","14","7","0.3","0.08","0.032","0.1","137","5","0","0","0","0","0","0","0","0","0","0.025","0.003","0","0.006","0","0","0.046","0.009","0","0","0","0","0","87.9"
"Apricot nectar","Fruit drinks","56","0.17","13.63","12.79","0.1","0.45","0.033","0.186","0.087","0","0","16","3","189","5","20","6","0.06","0.015","0.15","0.037","0","1","1","1","1","0","0","29.7","0","0.41","0","1.2","11","5","5","0.1","0.03","0.019","0","67","8","0","0","0","0","0","0","0","0","0","0.029","0.004","0","0.186","0","0","0.087","0","0","0","0","0","0","85.63"
"Apricot, canned","Other fruits and fruit salads","56","0.65","13.85","12.39","1.5","0.17","0.01","0.063","0.029","0","0","90","0","1076","10","0","24","0.019","0.023","0.363","0.05","0","2","2","2","1.7","0","0","3.1","0","0.55","0","2","7","12","6","0.3","0.1","0.076","0.1","177","3","0","0","0","0","0","0","0","0","0","0.009","0.001","0","0.063","0","0","0.029","0","0","0","0","0","0","84.97"
"Apricot, dried","Dried fruits","241","3.39","62.64","53.44","7.3","0.51","0.017","0.074","0.074","0","0","180","0","2163","0","0","0","0.015","0.074","2.589","0.143","0","10","10","10","13.9","0","0","1","0","4.33","0","3.1","55","71","32","2.66","0.39","0.343","2.2","1162","10","0","0","0","0","0","0","0","0","0","0.017","0","0","0.074","0","0","0.074","0","0","0","0","0","0","30.89"
"Apricot, raw","Other fruits and fruit salads","48","1.4","11.12","9.24","2","0.39","0.027","0.17","0.077","0","0","96","19","1094","104","0","89","0.03","0.04","0.6","0.054","0","9","9","9","2.8","0","0","10","0","0.89","0","3.3","13","23","10","0.39","0.2","0.078","0.1","259","1","0","0","0","0","0","0","0","0","0","0.024","0.003","0","0.17","0","0","0.077","0","0","0","0","0","0","86.35"
"Apricots, baby food, junior","Baby food: fruit","63","0.3","17.3","1.4","1.5","0","0","0","0","0","0","36","7","411","39","0","12","0.008","0.013","0.196","0.028","0","2","2","2","1.2","0","0","17.9","0","0.6","0","0.4","8","10","4","0.27","0.04","0.036","0.3","125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.1"
"Apricots, baby food, NS as to strained or junior","Baby food: fruit","62","0.3","16.8","1.4","1.5","0","0","0","0","0","0","36","7","412","39","0","12","0.008","0.013","0.196","0.029","0","2","2","2","1.2","0","0","19.8","0","0.35","0","0.4","8","10","4","0.28","0.04","0.035","0.3","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.6"
"Apricots, baby food, strained","Baby food: fruit","60","0.3","16.3","1.41","1.5","0","0","0","0","0","0","36","7","412","39","0","11","0.008","0.013","0.195","0.03","0","2","2","2","1.3","0","0","21.6","0","0.1","0","0.4","9","10","4","0.3","0.05","0.034","0.3","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.1"
"Arepa Dominicana","Biscuits, muffins, quick breads","267","5.68","30.45","3.27","2.4","13.94","9.074","2.46","1.459","48","55","60","19","52","1","0","549","0.173","0.21","1.764","0.099","42","16","87","58","38.5","0.18","0","0.8","0.7","0.54","0","3.3","83","133","28","2.32","0.74","0.133","10","202","401","0","0","0","0.02","0.065","0.608","0.5","3.81","1.588","1.59","0.853","0.041","2.424","0.009","0.001","1.342","0.085","0","0.024","0","0.002","0.007","47.98"
"Armadillo, cooked","Lamb, goat, game","159","28.18","0","0","0","4.36","1.295","1.703","0.637","77","0","0","0","0","0","0","0","0.309","0.139","4.192","0.416","0","6","6","6","116.9","0.7","0","0","0","0.38","0","1.4","16","133","27","1.12","3","0.056","12.9","394","222","0","0","0","0","0","0","0","0","0.05","0.767","0.438","0.219","1.484","0","0","0.498","0.03","0","0.11","0","0","0","63.6"
"Artichoke dip","Dips, gravies, other sauces","331","3.65","5.47","2.08","0.9","33.12","8.274","7.527","15.171","39","60","62","0","11","2","0","67","0.024","0.1","0.205","0.049","0","18","18","18","24.1","0.2","0","2","0.1","1.27","0","56.6","101","88","13","0.24","0.53","0.041","4.4","120","601","0","0","0","0.044","0.096","0.066","0.168","0.198","0.716","4.828","1.811","0.151","7.247","0.092","0.007","13.277","1.844","0","0.028","0.003","0.005","0.002","55.65"
"Artichoke, canned, cooked, fat added","Other vegetables and combinations","74","2.81","11.57","0.96","5.5","2.87","0.797","0.943","0.916","2","10","12","0","13","0","0","449","0.048","0.087","1.075","0.095","0","86","86","86","33.5","0","0","7.2","0","0.48","0","16.7","21","71","41","0.59","0.39","0.123","0.2","277","180","0","0","0","0.028","0.018","0.01","0.022","0.027","0.069","0.434","0.169","0.014","0.92","0.008","0","0.786","0.128","0","0","0","0","0","81.72"
"Artichoke, canned, cooked, no added fat","Other vegetables and combinations","53","2.88","11.91","0.99","5.7","0.34","0.079","0.011","0.145","0","0","1","0","8","0","0","463","0.05","0.089","1.107","0.081","0","89","89","89","34.3","0","0","7.4","0","0.19","0","14.8","21","73","42","0.61","0.4","0.127","0.2","285","176","0","0","0","0","0","0","0","0.004","0.004","0.066","0.006","0","0.011","0","0","0.105","0.038","0","0","0","0","0","83.83"
